# wave,trans
8800,7.77333e-08
8810,1.22767e-07
8820,1.46667e-08
8830,1.07867e-08
8840,-5.29333e-07
8850,-5.36443e-08
8860,1.01322e-06
8870,4.78e-07
8880,-3.30333e-07
8890,-5.53667e-08
8900,-1.37933e-07
8910,5.1e-08
8920,9.279e-08
8930,-4.58333e-08
8940,1.21033e-07
8950,-5.93333e-08
8960,3.03667e-07
8970,1.53467e-07
8980,-3.39167e-07
8990,-7.73333e-08
9000,1.793e-07
9010,-1.63333e-08
9020,5.89667e-08
9030,5.77e-07
9040,-1.274e-07
9050,3.22033e-07
9060,-1.06667e-08
9070,-2.696e-07
9080,2.24167e-07
9090,3.04843e-07
9100,3.90333e-07
9110,-2.96667e-08
9120,1.21e-07
9130,1.23967e-07
9140,1.062e-07
9150,6.12667e-07
9160,2.81333e-07
9170,1.71833e-07
9180,2.62333e-07
9190,1.25333e-07
9200,2.01e-07
9210,8.57667e-07
9220,1.793e-07
9230,1.47333e-07
9240,-1.29e-07
9250,3.55e-07
9260,-1.78233e-07
9270,-1.94667e-08
9280,3.66667e-07
9290,4.40667e-07
9300,-3.50333e-07
9310,3.047e-07
9320,3.39453e-07
9330,-1.92667e-07
9340,-2.13333e-08
9350,-1.75667e-07
9360,-3.03667e-07
9370,-1.385e-07
9380,4.51667e-07
9390,9.22745e-07
9400,-1.42533e-07
9410,4.48e-07
9420,2.69667e-07
9430,-7.97e-08
9440,1.913e-07
9450,5.11e-07
9460,-2.37567e-07
9470,8.83998e-07
9480,3.60667e-08
9490,5.41e-07
9500,4.17e-07
9510,-4.32567e-07
9520,-2.73333e-07
9530,-1.53667e-08
9540,2.00967e-07
9550,5.49333e-07
9560,-1.02333e-07
9570,2.321e-07
9580,5.77e-07
9590,1.30133e-07
9600,1.32e-07
9610,1.9e-07
9620,3.47267e-07
9630,9.78741e-07
9640,1.87133e-07
9650,6.03e-07
9660,7.03333e-09
9670,5.72e-07
9680,6.57333e-07
9690,6.77333e-07
9700,4.86333e-07
9710,8.61305e-07
9720,3.61833e-07
9730,1.08423e-06
9740,1.47555e-06
9750,1.53891e-06
9760,1.54229e-06
9770,1.43335e-06
9780,1.63388e-06
9790,1.51897e-06
9800,2.84991e-06
9810,2.39706e-06
9820,3.13204e-06
9830,3.5299e-06
9840,4.61078e-06
9850,5.28851e-06
9860,5.28841e-06
9870,6.10121e-06
9880,6.29113e-06
9890,6.83152e-06
9900,6.25548e-06
9910,6.97459e-06
9920,7.14945e-06
9930,7.28051e-06
9940,7.62874e-06
9950,6.65028e-06
9960,7.01154e-06
9970,6.79789e-06
9980,6.35536e-06
9990,7.02712e-06
10000,6.57872e-06
10010,6.58075e-06
10020,6.5023e-06
10030,6.88283e-06
10040,6.52076e-06
10050,6.41923e-06
10060,6.76308e-06
10070,6.38068e-06
10080,6.68036e-06
10090,6.73665e-06
10100,7.10972e-06
10110,7.07982e-06
10120,7.41839e-06
10130,7.9209e-06
10140,7.92387e-06
10150,8.86146e-06
10160,8.87949e-06
10170,9.25817e-06
10180,9.39735e-06
10190,1.01162e-05
10200,1.06402e-05
10210,1.18474e-05
10220,1.23392e-05
10230,1.23084e-05
10240,1.34287e-05
10250,1.31823e-05
10260,1.49365e-05
10270,1.4703e-05
10280,1.51315e-05
10290,1.60705e-05
10300,1.63802e-05
10310,1.6748e-05
10320,1.74892e-05
10330,1.80476e-05
10340,1.84668e-05
10350,1.88688e-05
10360,1.96858e-05
10370,1.99754e-05
10380,2.08878e-05
10390,2.05002e-05
10400,2.0988e-05
10410,2.23836e-05
10420,2.25861e-05
10430,2.32112e-05
10440,2.4157e-05
10450,2.47852e-05
10460,2.55586e-05
10470,2.61268e-05
10480,2.71663e-05
10490,2.72404e-05
10500,2.86654e-05
10510,2.96284e-05
10520,3.0902e-05
10530,3.19317e-05
10540,3.24829e-05
10550,3.31674e-05
10560,3.39795e-05
10570,3.53243e-05
10580,3.69674e-05
10590,3.86691e-05
10600,3.97436e-05
10610,4.0658e-05
10620,4.32281e-05
10630,4.34421e-05
10640,4.5352e-05
10650,4.7311e-05
10660,4.82962e-05
10670,5.08431e-05
10680,5.29037e-05
10690,5.43735e-05
10700,5.66759e-05
10710,5.90817e-05
10720,6.0999e-05
10730,6.39168e-05
10740,6.67681e-05
10750,6.94415e-05
10760,7.31987e-05
10770,7.55797e-05
10780,7.94524e-05
10790,8.38244e-05
10800,8.7889e-05
10810,9.22843e-05
10820,9.71697e-05
10830,0.000102363
10840,0.000108513
10850,0.000113863
10860,0.000120935
10870,0.000127402
10880,0.000135732
10890,0.000144098
10900,0.000152781
10910,0.000161864
10920,0.000172619
10930,0.00018468
10940,0.00019628
10950,0.000209282
10960,0.000224299
10970,0.000239271
10980,0.000255122
10990,0.00027343
11000,0.000293679
