NIGHT,EXPID,TILEID,TILERA,TILEDEC,MJD,SURVEY,FAPRGRM,FAFLAVOR,EXPTIME,EFFTIME_SPEC,GOALTIME,GOALTYPE,MINTFRAC,AIRMASS,EBV,SEEING_ETC,EFFTIME_ETC,TSNR2_ELG,TSNR2_QSO,TSNR2_LRG,TSNR2_LYA,TSNR2_BGS,TSNR2_GPBDARK,TSNR2_GPBBRIGHT,TSNR2_GPBBACKUP,ELG_EFFTIME_DARK,BGS_EFFTIME_BRIGHT,LYA_EFFTIME_DARK,GPB_EFFTIME_DARK,GPB_EFFTIME_BRIGHT,GPB_EFFTIME_BACKUP,TRANSPARENCY_GFA,SEEING_GFA,FIBER_FRACFLUX_GFA,FIBER_FRACFLUX_ELG_GFA,FIBER_FRACFLUX_BGS_GFA,FIBERFAC_GFA,FIBERFAC_ELG_GFA,FIBERFAC_BGS_GFA,AIRMASS_GFA,SKY_MAG_AB_GFA,SKY_MAG_G_SPEC,SKY_MAG_R_SPEC,SKY_MAG_Z_SPEC,EFFTIME_GFA,EFFTIME_DARK_GFA,EFFTIME_BRIGHT_GFA,EFFTIME_BACKUP_GFA
20210514,88359,20377,177.524,34.331,59349.13780005,main,bright,mainbright,638.5098266601562,170.72315979003906,180.0,bright,0.85,1.0052789449691772,0.019627299159765244,2.1550281047821045,181.0493621826172,17.497238159179688,4.091125965118408,12.481993675231934,14.663994687097148,1219.451171875,1981.096923828125,382.3272399902344,2585.271240234375,150.47625732421875,170.72315979003906,167.7525509809021,171.49807739257812,200.81076049804688,189.4727783203125,1.0075210588615073,1.4759722132597157,0.4066246888973145,0.31156321118850006,0.14822361610013973,0.6744848531415859,0.708374281280769,0.7301886868830934,1.0036619683316945,20.599166878738565,20.70526864226945,20.63893436819577,18.937288520084728,225.029448549862,196.78306575490834,225.029448549862,219.74038499476683
20210514,88360,20654,182.276,34.456,59349.1470788,main,bright,mainbright,558.0843505859375,183.41448974609375,180.0,bright,0.85,1.0075130462646484,0.01402968354523182,1.4493019580841064,185.40895080566406,18.3590087890625,4.31264591217041,13.785823822021484,17.546711893648737,1310.103515625,2114.617919921875,404.1551513671875,2538.784423828125,157.88748168945312,183.41448974609375,200.73013829420591,183.05661010742188,212.27549743652344,186.06578063964844,1.1470484377203398,1.6106215066523388,0.34750881081293883,0.27118974747586855,0.13062630282297163,0.6375624416526378,0.6848737826497409,0.7122712659152789,1.0057396709004756,21.004917738812928,21.841813956383987,21.083885586119408,19.02125312386566,239.33094904748208,215.15109066974787,239.33094904748208,200.9470347421267
20210514,88361,2175,186.092,33.4,59349.15531293,main,dark,maindark,1279.737548828125,358.3417663574219,1000.0,dark,0.85,1.008471965789795,0.019690096378326416,1.9659730195999146,385.2890930175781,41.66764450073242,9.666105270385742,32.27198028564453,47.623713387083264,3004.32958984375,5085.3388671875,964.1192626953125,5558.4736328125,358.3417663574219,420.60614013671875,544.8037576620289,440.22369384765625,506.3869323730469,407.3767395019531,1.0121895897264568,1.7102660008577328,0.32001811968486793,0.2537579381888433,0.12340113256549914,0.5301169773454653,0.5812555689635479,0.614943934127187,1.0042340299012062,21.045091090242163,22.12348219496558,21.115316075884373,18.90881451983789,431.7736023416004,431.7736023416004,476.1150653930592,344.89790737099156
20210514,88362,2175,186.092,33.4,59349.17121755,main,dark,maindark,1141.23095703125,278.3625183105469,1000.0,dark,0.85,1.0012459754943848,0.019690096378326416,1.9659730195999146,226.2880859375,32.367733001708984,6.715122222900391,24.20972442626953,23.3292615104001,2190.087646484375,3394.1015625,659.0986328125,3748.125732421875,278.3625183105469,306.6122741699219,266.88110670919144,293.8179626464844,346.1801452636719,274.69757080078125,0.9817936827963811,1.949766679950136,0.25842754088439074,0.21102460460981995,0.10484421292809205,0.41595237681969577,0.466916378063191,0.5041427912046664,1.000350240408674,21.05277748714678,22.198966774149053,21.194813950105807,18.98817659292681,258.70535197427193,258.70535197427193,295.83140375078546,194.55281312022427
20210514,88363,2175,186.092,33.4,59349.18632049,main,dark,maindark,921.6973266601562,426.406494140625,1000.0,dark,0.85,1.0009959936141968,0.019690096378326416,1.9659730195999146,393.2124938964844,49.582149505615234,11.594015121459961,36.97987365722656,43.33177438834682,3295.536376953125,5510.05712890625,1012.6234130859375,5948.50146484375,426.406494140625,461.3750915527344,495.7050140348255,476.9903869628906,531.8629150390625,435.9616394042969,1.028252748409384,1.5103366457311753,0.3722574923230738,0.2883449408888584,0.1381243957643845,0.6267020648366685,0.6661236069395611,0.6925930887175398,1.0024238980815423,21.07187607351824,22.264798701646757,21.21144564773258,18.939418964954797,411.0031971128172,411.0031971128172,436.57308345547904,347.2860125355224
20210514,88364,21181,199.992,32.447,59349.20075297,main,bright,mainbright,589.321044921875,217.15618896484375,180.0,bright,0.85,1.0041879415512085,0.01093823928385973,1.5186549425125122,182.10595703125,22.84229850769043,5.114399433135986,17.124479293823242,16.504847428807988,1551.1156005859375,2471.98193359375,469.83282470703125,2842.94677734375,196.4437713623047,217.15618896484375,188.81146091585327,213.9926300048828,246.77154541015625,208.35763549804688,0.9915725253654264,1.5907384819466142,0.35192683314498796,0.2753748864456451,0.13288767281573183,0.56802121886257,0.6082361158403833,0.6379561722075249,1.0027075849069784,21.0766837339612,22.312144182195425,21.188651104154918,18.808919727860626,219.335856524149,197.29110484727426,219.335856524149,177.08465589237073
20210514,88365,21184,203.941,32.308,59349.20952682,main,bright,mainbright,1004.9224243164062,151.71421813964844,180.0,bright,0.85,1.005288004875183,0.01600690931081772,2.165663003921509,104.7047119140625,15.573186874389648,2.962014675140381,11.831149101257324,9.31753776143305,1083.6729736328125,1616.680419921875,326.8914794921875,1804.8521728515625,133.92941284179688,151.71421813964844,106.59037743082368,139.95155334472656,171.694091796875,132.27638244628906,0.9431555401629683,2.3984346124307923,0.19108420120972897,0.16260987047310851,0.08339826369531655,0.2942863605281588,0.34641394777502976,0.3871321075053746,1.002614898283038,21.126293513926058,22.363796124231143,21.24653713422989,18.883379367498197,157.79766796944415,128.50650446673623,157.79766796944415,88.3569361802542
20210514,88366,21184,203.941,32.308,59349.22214395,main,bright,mainbright,796.6481323242188,111.31836700439453,180.0,bright,0.85,1.000648021697998,0.01600690931081772,2.165663003921509,76.18270111083984,11.667960166931152,2.1512112617492676,8.689741134643555,5.938200073176995,795.1311645507812,1142.1649169921875,232.0794677734375,1286.704345703125,100.3444595336914,111.31836700439453,67.93157197383135,98.87405395507812,121.89572143554688,94.30168914794922,0.9397695082830946,2.464992100159745,0.1841926326735604,0.15823666523294927,0.08166810426032703,0.2837798105150086,0.33653624251516023,0.3777287248155254,1.0000812155906678,21.231467500270995,22.379719615702918,21.31364810603046,18.993098550083293,117.94831051512399,95.02733658171891,117.94831051512399,64.7637395052639
20210514,88367,21162,210.224,34.737,59349.23428483,main,bright,mainbright,967.0606689453125,238.64453125,180.0,bright,0.85,1.0031410455703735,0.014443149790167809,2.047607898712158,182.17501831054688,25.05006980895996,5.076927185058594,18.90200424194336,16.60192019199021,1704.603759765625,2653.702392578125,518.4110107421875,2909.49658203125,215.43060302734375,238.64453125,189.92194983800974,229.72366333007812,272.2864074707031,213.2350311279297,0.9699292873113596,2.037816031740851,0.2470355217560756,0.204217976343434,0.10223814012550901,0.3970718600972951,0.4482776235029889,0.4866742332516597,1.0017392051532208,21.1679952424424,22.372898545056394,21.23881871128466,18.814616655654884,237.8470012667418,205.5202139323226,237.8470012667418,153.26189496653706
20210514,88368,21196,214.298,34.258,59349.24740507,main,bright,mainbright,566.2131958007812,215.77560424804688,180.0,bright,0.85,1.0022180080413818,0.012767724692821503,1.8564660549163818,181.3243865966797,23.22739601135254,5.107916831970215,17.16656494140625,14.773819322232157,1541.2542724609375,2416.79541015625,458.078125,2751.89013671875,199.755615234375,215.77560424804688,169.00891823263436,209.2152862548828,240.59759521484375,201.6841583251953,1.0209297068460752,1.6293070574533308,0.34261480730751115,0.2700003947442787,0.13071625625650685,0.5741005767161821,0.6191493730806066,0.6508368184862126,1.0014649452686308,21.20774999025747,22.37606262170338,21.28332683517302,18.909555476552647,225.85211797920653,203.9654117309543,225.85211797920653,176.36200974777842
